CAPITAIS;2015;2016;2017;2018;2019;2020
Manaus (AM); R$ 67.076.904,00 ; R$ 70.234.306,00 ; R$ 73.225.449,00 ; R$ 78.155.386,00 ; R$ 84.566.043,00 ; R$ 91.768.773,00 
Bel‚m (PA); R$ 29.215.036,00 ; R$ 29.466.894,00 ; R$ 30.244.780,00 ; R$ 31.479.272,00 ; R$ 32.372.971,00 ; R$ 30.835.763,00 
Fortaleza (CE); R$ 57.211.200,00 ; R$ 60.088.001,00 ; R$ 61.592.347,00 ; R$ 66.381.302,00 ; R$ 67.401.430,00 ; R$ 65.160.893,00 
Natal (RN); R$ 20.591.133,00 ; R$ 21.861.053,00 ; R$ 23.458.658,00 ; R$ 23.372.340,00 ; R$ 24.139.377,00 ; R$ 22.729.773,00 
JoÆo Pessoa (PB); R$ 18.272.539,00 ; R$ 18.740.050,00 ; R$ 19.740.717,00 ; R$ 19.810.216,00 ; R$ 20.846.014,00 ; R$ 20.766.551,00 
Recife (PE); R$ 48.059.861,00 ; R$ 49.405.397,00 ; R$ 51.839.333,00 ; R$ 52.404.684,00 ; R$ 54.688.386,00 ; R$ 50.311.002,00 
Salvador (BA); R$ 57.918.103,00 ; R$ 61.168.158,00 ; R$ 62.823.699,00 ; R$ 63.534.708,00 ; R$ 63.902.294,00 ; R$ 58.938.115,00 
Belo Horizonte (MG); R$ 87.309.968,00 ; R$ 88.397.461,00 ; R$ 88.971.069,00 ; R$ 92.133.758,00 ; R$ 97.198.017,00 ; R$ 97.509.893,00 
Vit¢ria (ES); R$ 23.060.736,00 ; R$ 21.721.213,00 ; R$ 20.252.080,00 ; R$ 25.518.127,00 ; R$ 23.656.637,00 ; R$ 25.473.898,00 
Rio de Janeiro (RJ); R$ 320.186.615,00 ; R$ 328.440.481,00 ; R$ 337.675.255,00 ; R$ 363.403.233,00 ; R$ 354.932.611,00 ; R$ 331.279.902,00 
SÆo Paulo (SP); R$ 653.646.991,00 ; R$ 683.066.697,00 ; R$ 698.952.189,00 ; R$ 714.663.604,00 ; R$ 763.597.808,00 ; R$ 748.759.007,00 
Bras¡lia (DF); R$ 215.612.863,00 ; R$ 235.540.045,00 ; R$ 244.722.249,00 ; R$ 254.817.205,00 ; R$ 273.613.711,00 ; R$ 265.847.334,00 
